名称（研发填写，产品重点校对，中文）,英文名称,平台界面是否显示,参数设置项,描述(备注/解释语，中文),英文描述(备注/解释语), 分组KEY,中文分组名称,英文分组名称,硬件版本,固件版本,型号,表格备注（非字段）,特殊解析 (变长协议等),下发是否响应,IPSO响应通道,IPSO通道,IPSO类型,IPSO起始字节,IPSO结束字节,IPSO起始bit,IPSO结束bit,"IPSO数据
类型",IPSO解析辅助字段类型,IPSO解析映射,IPSO固定值,异常值,"元素类型
（数组内元素类型）",枚举（产品校对文案）,英文枚举,默认值,自定义默认值,"最小值
(number)","最大值
(number)",设备限制范围,"精度
(有效小数位)",系数,单位名称（英文缩写）,"大小端
（string默认大端，其余默认小端）",输入长度限制（string）,字符编码（string）,类型,"读写
类型",事件类型,服务类型,IPSO标识,物模型版本,物模型属性标识,物模型数据类型,"长度下限
(string)","长度上限
(string)","数组长度
(最大)",关联项(物模型属性标识),输入参数（服务）,输出参数（事件&服务）,"必填
(入参)",云生态备注,忽略该行,平台自定义
全检结束应答,Full Inspection End Response,否,,,,,,,,,,,是,,,0xF4,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.end_inspection.result,enum,,,,,,,,,1,FALSE
命令查询,Command Queries,否,,,,,,,,,,可能应答的是实际数据,是,否,,0xEF,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_command_queries,struct,,,,,,,,,,TRUE
查询信息,Query Information,否,,,,,,,,,,,是,,,0xEF,,0,1,4,8,uint8,,,0,,,,,,,,,,,,,,,,参数,只写,,,,,request_command_queries.query_information,int,,,,,,,,,,TRUE
命令长度,Command Length,否,,,,,,,,,,,是,,,0xEF,,0,1,0,4,uint8,length,,,,,,,1,,1,15,,,,,,,,参数,只写,,,,,request_command_queries.length,int,,,,,,,,,,TRUE
所查询的命令,The command that was queried,否,,,,,,,,,,,是,,,0xEF,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_command_queries.object_command,array,,,15,,,,,,,TRUE
命令应答,Command Response,否,,,,,,,,,,,是,,,0xEF,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,command_queries_reply,struct,,,,,,,,,,TRUE
应答结果,Answer Result,否,,,,,,,,,,,是,,,0xEF,,0,1,4,8,uint8,,,,,,"0：成功
1：无法解析
2：顺序错误
3：密码错误
4：读参数错误
5：写参数错误
6：读执行错误
7：写执行错误
8：读应用错误
9：写应用错误","0：success
1：unknow
2：error order
3：error passwd
4：error read params
5：error write params
6：error read
7：error write
8：error read apply
9：error write apply",0,,,,,,,,,,,参数,只读,,,,,command_queries_reply.result,enum,,,,,,,,,,TRUE
命令长度,Command Length,否,,,,,,,,,,,是,,,0xEF,,0,1,0,4,uint8,length,,,,,,,1,,1,15,,,,,,,,参数,只读,,,,,command_queries_reply.length,int,,,,,,,,,,TRUE
所应答的命令,Answered Commands,否,,,,,,,,,,,是,,,0xEF,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只读,,,,,command_queries_reply.the_command_in_reply,array,,,15,,,,,,,TRUE
查询所有配置请求,Request to Query All Configurations,否,,,,,,,,,,,是,否,,0xEE,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_query_all_configurations,-,,,,,,,,,1,TRUE
请求所有配置下发,Request to Push All Configurations,否,,,,,,,,,,,是,,,0xEE,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,info,,,,all_configurations_request_by_device,-,,,,,,,,,,TRUE
历史数据,Historical Data,否,,,,,,,,,,后续跟历史数据，至下一个报文或此条命令结束，不与周期报文混合,是,,,0xED,,0,4,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,info,,,,historical_data_report,struct,,,,,,,,,,TRUE
历史数据时间戳,Historical Data Timestamps,否,,,,,,,,,,,是,,,0xED,,0,4,,,uint32,,,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_report.timestamp,date,,,,,,,,,,TRUE
LoRaWAN  设置,LoRaWAN  Settings,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,,,否,,0xCF,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,lorawan_configuration_settings,struct,,,,,,,,,,TRUE
LORAWAN设置,LoRaWAN Comand,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,,,否,,0xCF,,0,1,,,uint8,type,lorawan_cmd,,,,,,,,,,子命令，错误时找不到对应命令,,,,,,,属性,读写,,,,,lorawan_configuration_settings.command,enum,,,,,,,,,,FALSE
设备EUI,Device EUI,否,,,,,,,,,,"默认值根据sn截取
24e124+sn[1,11]
平台不展示，不做插件处理
0",,否,,0xCF,,0,8,,,string,impl,lorawan_cmd：0x0B,,,,,,,,,,不限制,,,,,16,hex,属性,只读,,,,,lorawan_configuration_settings.deveui,string,16,16,,,,,,,,FALSE
APP EUI,APP EUI,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,1,,否,,0xCF,,0,8,,,string,impl,lorawan_cmd：0x13,,,,,,24e124c0002a0001,,,,不限制,,,,,16,hex,属性,读写,,,,,lorawan_configuration_settings.appeui,string,16,16,,,,,,,,FALSE
网络ID,Network ID,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,1.1,,否,,0xCF,,0,3,,,string,impl,lorawan_cmd：0x03,,,,,,10203,,,,不限制,,,,,6,hex,属性,读写,,,,,lorawan_configuration_settings.netid,string,6,6,,,,,,,,FALSE
应用程序端口,Application Port,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,2,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x5C,,,,,,85,,1,223,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.app_port,int,,,,,,,,,,FALSE
LoRaWAN 版本,LoRaWAN Version,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"枚举值3被弃用，引导到2

3",是,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xD8,,,,"1：1.0.2
2：1.0.3
3：1.0.3
4：1.0.4","1：1.0.2
2：1.0.3
3：1.0.3
4：1.0.4",2,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.version,enum,,,,,,,,,,TRUE
LoraWAN工作模式,LoRaWAN Work Mode,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据产品变化默认值

4",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x00,,,,"0:ClassA
1:ClassB
2:ClassC
3:ClassC to B","0:ClassA
1:ClassB
2:ClassC
3:ClassC to B",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.mode,enum,,,,,,,,,,TRUE
确认包模式,Confirmed Mode,否,,如果设备在向NS发送数据包后没有收到NS的ACK位，设备将重新发送包.,"If the device does not receive ACK bit from NS after sending packet to the NS,the device will resend the packet.",lorawan_config.confirmed,确认包模式,Confirmed Mode,,,,5,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x5D,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.confirmed_mode,bool,,,,,,,,,,FALSE
ACK发送次数,ACK,否,,,,lorawan_config.confirmed,确认包模式,Confirmed Mode,,,,5-1,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xC6,,,,,,1,,1,15,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.ack_retry_times,int,,,,,,,,,,FALSE
入网方式,Join Type,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,6,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x01,,,,"0：ABP
1：OTAA","0：ABP
1：OTAA",1,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.join_type,enum,,,,,,,,,,FALSE
应用程序密钥,Application Key,否,,入网方式为OTAA时，填写有效,"If the network access mode is set to OTAA, this parameter is valid.",lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,7-1,,否,,0xCF,,0,16,,,string,impl,lorawan_cmd：0x3B,,,,,,5572404c696e6b4c6f52613230313823,,,,不限制,,,,,32,hex,属性,只写,,,,,lorawan_configuration_settings.appkey,string,32,32,,,,,,,,FALSE
网络会话密钥,Network Session Key,否,,入网方式为ABP时，填写有效,"If the network access mode is set to ABP, this parameter is valid.",lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,7-2,,否,,0xCF,,0,16,,,string,impl,lorawan_cmd：0x1B,,,,,,5572404c696e6b4c6f52613230313823,,,,不限制,,,,,32,hex,属性,只写,,,,,lorawan_configuration_settings.nwkskey,string,32,32,,,,,,,,FALSE
应用程序会话密钥,Application Session Key,否,,入网方式为ABP时，填写有效,"If the network access mode is set to ABP, this parameter is valid.",lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,8,,否,,0xCF,,0,16,,,string,impl,lorawan_cmd：0x2B,,,,,,5572404c696e6b4c6f52613230313823,,,,不限制,,,,,32,hex,属性,只写,,,,,lorawan_configuration_settings.appskey,string,32,32,,,,,,,,FALSE
设备地址,Device Address,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"默认值根据sn截取
sn[4,12]
平台不展示，不做插件处理

9-1",,否,,0xCF,,0,4,,,string,impl,lorawan_cmd：0x07,,,,,,,,,,不限制,,,,小端,8,hex,属性,读写,,,,,lorawan_configuration_settings.devaddr,string,8,8,,,,,,,,FALSE
重新入网模式,Rejoin Mode ,否,,,,lorawan_config.rejoin,重新入网模式,Rejoin Mode,,,,9.2,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xDA,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.rejoin_mode_enable,bool,,,,,,,,,,FALSE
设置发送链路检测信号数量,Set the number of detection signals  sent,否,,,,lorawan_config.rejoin,重新入网模式,Rejoin Mode,,,,9.2.1,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xD9,,,,,,32,,4,32,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.number_of_link_detection_signals,int,,,,,,,,,,FALSE
频段,Frequency Band,否,,,,lorawan_config.frequency_settings,频率设置,Frequency Settings,,,,"根据频段变化
10",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xCD,,,,"0：CN470
2：AS923
3：AU915
4：EU868
5：KR920
6：IN865
7：US915
10：RU864","0：CN470
2：AS923
3：AU915
4：EU868
5：KR920
6：IN865
7：US915
10：RU864",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.frequency_band,enum,,,,,,,,,,FALSE
信道规划,Channel Plan,否,,,,lorawan_config.frequency_settings,频率设置,Frequency Settings,,,,"根据频段变化
11",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xDC,,,,"0：AS923-1
1：AS923-2
2：AS923-3
3：AS923-4","0：AS923-1
1：AS923-2
2：AS923-3
3：AS923-4",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.AS923_frequency_band_in_use,enum,,,,,,,,,,FALSE
启用信道,Channel Mask,否,,"请在输入框中输入要启用的通道索引，用逗号分隔
例如：1，40：启用通道1和通道40
1-40：启用channel1到channel40
All:启用所有通道","Please enter the index of the channel to be enabled in the input box separated by commas.
For example:
1，40:Enabling Channel1 and channel40 
1-40:Enabling Channnel1to channel40
Null: Indicates that all channels are disabled",lorawan_config.frequency_settings,频率设置,Frequency Settings,,,,"根据频段变化，发送额外信道时无需发送掩码
12

请在输入框中输入要启用的通道索引，用逗号分隔
例如：1，40：启用通道1和通道40
1-40：启用channel1到channel40
All:启用所有通道",,否,,0xCF,,0,12,,,string,impl,lorawan_cmd：0x5E,,,,,,00000000000000000000ff00,,,,不限制,,,,小端,24,hex,属性,读写,,,,,lorawan_configuration_settings.channel_mask,string,24,24,,,,,,,,FALSE
信道设置,Channel Settings,否,,只能进行额外信道修改，默认信道修改无效。,"Only additional channel modifications can be made, and default channel modifications are invalid.",lorawan_config.frequency_settings.channel_settings,信道设置,Channel Settings,,,,"根据频段变化，发送额外信道时无需发送掩码
13",,否,,0xCF,,0,7,,,array,separate,lorawan_cmd：0x6A,,,struct,,,,,,,,,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings,array,,,8,,,,,,,FALSE
信道,Channel,否,,,,lorawan_config.frequency_settings.channel_settings,信道设置,Channel Settings,,,,13,,否,,0xCF,,0,7,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item,struct,,,,,,,,,,FALSE
序号,Number,否,,,,lorawan_config.frequency_settings.channel_settings,信道设置,Channel Settings,,,,13-1,,否,,0xCF,,0,1,,,uint8,index,,,,,,,1,,1,8,子命令，错误时找不到对应命令,,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item.index,int,,,,,,,,,,FALSE
使能,Enable,否,,,,lorawan_config.frequency_settings.channel_settings,信道设置,Channel Settings,,,,13-2,,否,,0xCF,,1,2,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item.enable,bool,,,,,,,,,,FALSE
频率,Frequency,否,,,,lorawan_config.frequency_settings.channel_settings,信道设置,Channel Settings,,,,"根据频段变化
13-3",,否,,0xCF,,2,6,,,uint32,,,,,,,,868.3,,,,"[0,4294967295]",6,0.000001,MHz,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item.frequency,double,,,,,,,,,,FALSE
数据速率上限值,Max Data Rate,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
这个是发送的
13-4",,否,,0xCF,,6,7,4,8,uint8,,,,,,"0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)","0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)",5,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item.data_rate_max,enum,,,,,,,,,,FALSE
数据速率下限值,Min Data Rate,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
这个是发送的
13-5",,否,,0xCF,,6,7,0,4,uint8,,,,,,"0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)","0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.channels_settings._item.data_rate_min,enum,,,,,,,,,,FALSE
速率自适应速率,ADR Mode,否,,启用此模式可优化上行链路数据的数据速率，通话时间和能耗，建议在稳定的射频条件下启用。,"Enable this mode to optimize the Data Rate,Airtime and Energy Consumption of uplink data, it's recommended to enable in stable RF conditions.",lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,13.1（13和14之间）,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x02,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.adr_mode,bool,,,,,,,,,,FALSE
发送速率,TX Data Rate,否,,此选项用于确定加入网络服务器的SF和数据速率。如果禁用了ADR，则上行数据也将遵循此规则。,"This option is used to determine the SF and Data Rate to Join the Network Server, If ADR is disabled, the uplink data will follow this rule as well.",lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
14",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xBA,,,,"0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)","0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)",2,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.tx_data_rate,enum,,,,,,,,,,FALSE
输出功率,TX Power,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
15

设备限制中为啥有负数的@林成禹-5548(lincy)",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0x5B,,,,"0：TXPOWER0-16dBm
1：TXPOWER1-14dBm
2：TXPOWER2-12dBm
3：TXPOWER3-10dBm
4：TXPOWER4-8dBm
5：TXPOWER5-6dBm
6：TXPOWER6-4dBm
7：TXPOWER7-2dBm","0：TXPOWER0-16dBm
1：TXPOWER1-14dBm
2：TXPOWER2-12dBm
3：TXPOWER3-10dBm
4：TXPOWER4-8dBm
5：TXPOWER5-6dBm
6：TXPOWER6-4dBm
7：TXPOWER7-2dBm",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.tx_power,enum,,,,,,,,,,FALSE
接收窗口速率,RX2 Data Rate,否,,与D2D速率相同,Same as D2D Data Rate,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
15",,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xBF,,,,"0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)","0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.rx2_data_rate,enum,,,,,,,,,,FALSE
接收窗口频率,RX2 Frequency,否,,与D2D频率相同,Same as D2D Frequency,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"根据频段变化
16",,否,,0xCF,,0,4,,,uint32,impl,lorawan_cmd：0xBB,,,,,,869.525,,,,"[0,4294967295]",6,0.000001,MHz,,,,属性,读写,,,,,lorawan_configuration_settings.rx2_frequency,double,,,,,,,,,,FALSE
打开接收窗口周期,Ping Slot Periodicity,否,,仅LoraWAN工作模式为Class B时，填写有效,This parameter is valid only when the LoraWAN working mode is Class B,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,16.1,,否,,0xCF,,0,1,,,uint8,impl,lorawan_cmd：0xDD,,,,"0：1s
1：2s
2：4s
3：8s
4：16s
5：32s
6：64s
7：128s","0：1s
1：2s
2：4s
3：8s
4：16s
5：32s
6：64s
7：128s",2,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.pingslot_periodicity,enum,,,,,,,,,,FALSE
接收窗口1打开延时,RX1 Open Delay Time,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"未实现
16-1",,否,,0xCF,,0,4,,,uint32,impl,lorawan_cmd：0x4B,,,,,,1,,1,60,"[0,4294967295]",,0.001,s,,,,属性,读写,,,,,lorawan_configuration_settings.rx1_open_delay,long,,,,,,,,,,FALSE
接收窗口2打开延时,RX2 Open Delay Time,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"未实现
16-2",,否,,0xCF,,0,4,,,uint32,impl,lorawan_cmd：0x4F,,,,,,2,,1,60,"[0,4294967295]",,0.001,s,,,,属性,读写,,,,,lorawan_configuration_settings.rx2_open_delay,long,,,,,,,,,,FALSE
入网窗口1打开延时,Join RX1 Open Delay Time,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"未实现
16-3",,否,,0xCF,,0,4,,,uint32,impl,lorawan_cmd：0x53,,,,,,5,,1,60,"[0,4294967295]",,0.001,s,,,,属性,读写,,,,,lorawan_configuration_settings.join_rx1_open_delay,long,,,,,,,,,,FALSE
入网窗口2打开延时,Join RX2 Open Delay Time,否,,,,lorawan_config,LoRaWAN  设置,LoRaWAN Settings,,,,"未实现
16-4",,否,,0xCF,,0,4,,,uint32,impl,lorawan_cmd：0x57,,,,,,6,,1,60,"[0,4294967295]",,0.001,s,,,,属性,读写,,,,,lorawan_configuration_settings.join_rx2_open_delay,long,,,,,,,,,,FALSE
组播群组,Multicast Group Settings,否,,,,lorawan_config.multicast_group_settings,组播群组,Multicast Group Settings,,,,17,,否,,0xCF,,0,0,,,struct,impl,lorawan_cmd：0xF9,,,,,,,,,,,,,,,,,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings,struct,,,,,,,,,,FALSE
组播命令,Multicast Comand,否,,,,lorawan_config.multicast_group_settings,组播群组,Multicast Group Settings,,,,17,,否,,0xCF,,0,1,,,uint8,type,lorawan_group_cmd,,,,,,,,,,子命令，错误时找不到对应命令,,,,,,,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings.command,enum,,,,,,,,,,FALSE
组播1使能,Multicast Group 1 Enable,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-1,,否,,0xCF,,0,1,,,uint8,impl,lorawan_group_cmd：0x0D,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_enable,bool,,,,,,,,,,FALSE
组播地址,Multicast Address,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-2,,否,,0xCF,,0,4,,,string,impl,lorawan_group_cmd：0x14,,,,,,11111111,,,,不限制,,,,小端,8,hex,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_devaddr,string,8,8,,,,,,,,FALSE
组播应用会话密钥,McAppSKey,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-3,,否,,0xCF,,0,16,,,string,impl,lorawan_group_cmd：0x28,,,,,,5572404c696e6b4c6f52613230313823,,,,不限制,,,,,32,hex,属性,只写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_appskey,string,32,32,,,,,,,,FALSE
组播网络会话密钥,McNetSKey,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-4,,否,,0xCF,,0,16,,,string,impl,lorawan_group_cmd：0x18,,,,,,5572404c696e6b4c6f52613230313823,,,,不限制,,,,,32,hex,属性,只写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_nwkskey,string,32,32,,,,,,,,FALSE
组播接收窗口打开周期,Multicast Ping Slot Periodicity,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-5,,否,,0xCF,,0,1,,,uint8,impl,lorawan_group_cmd：0x0E,,,,"0：1s
1：2s
2：4s
3：8s
4：16s
5：32s
6：64s
7：128s","0：1s
1：2s
2：4s
3：8s
4：16s
5：32s
6：64s
7：128s",2,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_pingslot_periodicity,enum,,,,,,,,,,FALSE
组播速率,Multicast Data Rate,否,,,,lorawan_config.multicast_group_settings.group1,组播群组 1,Multicast Group 1 Settings,,,,17-6,,否,,0xCF,,0,1,,,uint8,impl,lorawan_group_cmd：0x0F,,,,"0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)","0：DR0(SF12,125kHz)
1：DR1(SF11,125kHz)
2：DR2(SF10,125kHz)
3：DR3(SF9,125kHz)
4：DR4(SF8,125kHz)
5：DR5(SF7,125kHz)",2,,,,"[0,255]",,,,,,,属性,读写,,,,,lorawan_configuration_settings.multicast_group_settings.group_1_data_rate,enum,,,,,,,,,,FALSE
